
CommandType     Name                                               Version    Source
Function        Add-AzStackHCIVMVirtualMachineNetworkInterface     1.0.1      Az.StackHCIVM
Function        Add-AzSynapseKustoPoolLanguageExtension            3.0.5      Az.Synapse
Function        Approve-AzEventHubPrivateEndpointConnection        4.2.0      Az.EventHub
Function        Approve-AzServiceBusPrivateEndpointConnection      3.0.0      Az.ServiceBus
Function        Backup-AzDataProtectionBackupInstanceAdhoc         2.2.0      Az.DataProtection
Function        cd..                                                          
Function        cd\                                                           
Function        cd~                                                           
Function        Clear-AzAppConfigurationDeletedStore               1.3.0      Az.AppConfiguration
Function        Clear-AzCdnEndpointContent                         3.1.2      Az.Cdn
Function        Clear-AzFrontDoorCdnEndpointContent                3.1.2      Az.Cdn
Function        Clear-Host                                                    
